year,source_country_region,dest_country_region,s2d_d2s_ratio,yoy_change
2020,Ghana,United States,1.552238806,
2021,Ghana,United States,2.159117305,0.390969803
2022,Ghana,United States,2.324847251,0.076758194
2021,Greece,Germany,1.818950931,
2022,Greece,Germany,1.97199341,0.084137772
2020,Greece,Netherlands,1.67,
2021,Greece,Netherlands,2.350574713,0.407529768
2022,Greece,Netherlands,2.665546218,0.133997658
2020,Greece,United Kingdom,1.01039501,
2021,Greece,United Kingdom,0.880272689,-0.128783615
2022,Greece,United Kingdom,0.981355932,0.114831739
2020,Greece,United States,0.90483871,
2021,Greece,United States,1.084487535,0.198542373
2022,Greece,United States,1.306151645,0.204395259
2019,India,Australia,5.581543624,
2020,India,Australia,3.164678363,-0.433010189
2021,India,Australia,1.919099249,-0.393587901
2022,India,Australia,4.13377755,1.154019679
2020,India,Bahrain,1.123148148,
2021,India,Bahrain,1.206306306,0.07404024
2022,India,Bahrain,1.602862254,0.3287357
2022,India,Bangladesh,0.966431095,
2019,India,Belgium,2.394392523,
2020,India,Belgium,1.80862069,-0.244643194
2021,India,Belgium,1.799654577,-0.004957431
2022,India,Belgium,2.540186916,0.41148582
2019,India,Canada,8.342568162,
2020,India,Canada,6.533051047,-0.216901688
2021,India,Canada,7.181048174,0.099187519
2022,India,Canada,8.538622421,0.189049595
2019,India,Finland,1.188785047,
2020,India,Finland,0.939597315,-0.209615466
2019,India,France,2.89516129,
2020,India,France,1.818126148,-0.372012138
2021,India,France,1.900194426,0.045138935
2022,India,France,2.157681941,0.135505878
2019,India,Germany,4.019144144,
2020,India,Germany,3.125989237,-0.222225149
2021,India,Germany,3.6367713,0.163398536
2022,India,Germany,4.828351836,0.327647915
2022,India,Indonesia,1.227272727,
2020,India,Ireland,3.731460674,
2021,India,Ireland,4.137560976,0.108831457
2022,India,Ireland,6.57244898,0.588483896
2020,India,Italy,1.784665579,
2021,India,Italy,2.125423729,0.190936696
2022,India,Italy,2.286432161,0.075753568
2019,India,Japan,0.795744681,
2020,India,Japan,1.583333333,0.989750446
2021,India,Japan,1.280353201,-0.191355873
2022,India,Japan,2.130526316,0.664014519
2019,India,Malaysia,0.970044614,
2020,India,Malaysia,1.110612016,0.144908182
2021,India,Malaysia,0.624553571,-0.437649186
2022,India,Malaysia,1.410146699,1.257847467
2020,India,Netherlands,1.851757188,
2021,India,Netherlands,2.221536736,0.199691163
